Columbus, Ohio October Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194810,50.6,-3.7
194910,59.4,5.1
195010,58.0,3.7
195110,56.7,2.4
195210,48.6,-5.7
195310,57.2,2.9
195410,56.0,1.7
195510,54.7,0.4
195610,58.9,4.6
195710,51.0,-3.3
195810,53.9,-0.4
195910,55.3,1.0
196010,55.2,0.9
196110,55.9,1.6
196210,55.0,0.7
196310,60.4,6.1
196410,51.7,-2.6
196510,54.9,0.6
196610,51.3,-3.0
196710,52.4,-1.9
196810,54.6,0.3
196910,54.4,0.1
197010,56.2,1.9
197110,60.7,6.4
197210,49.9,-4.4
197310,58.0,3.7
197410,52.2,-2.1
197510,54.5,0.2
197610,47.2,-7.1
197710,52.2,-2.1
197810,51.6,-2.7
197910,53.5,-0.8
198010,51.0,-3.3
198110,51.2,-3.1
198210,56.4,2.1
198310,54.7,0.4
198410,59.5,5.2
198510,57.5,3.2
198610,56.4,2.1
198710,48.9,-5.4
198810,47.2,-7.1
198910,54.0,-0.3
199010,54.8,0.5
199110,55.1,0.8
199210,51.1,-3.2
199310,52.2,-2.1
199410,54.8,0.5
199510,55.3,1.0
199610,54.5,0.2
199710,54.8,0.5
199810,55.0,0.7
199910,54.0,-0.3
200010,56.8,2.5
200110,55.3,1.0
200210,53.1,-1.2
200310,52.4,-1.9
200410,54.6,0.3
200510,55.0,0.7
200610,51.9,-2.4
200710,61.7,7.4
200810,54.5,0.2
200910,51.2,-3.1
201010,55.9,1.6
201110,54.2,-0.1
201210,53.7,-0.6
201310,56.0,1.7
201410,54.4,0.1
201510,55.6,1.3
201610,59.2,4.9
201710,58.7,4.4
201810,56.5,2.2
201910,58.4,4.1
202010,54.5,0.2
202110,62.3,8.0
202210,54.1,-0.2
